Date,Close
1/2/2019,113.74
1/3/2019,109.02
1/4/2019,118.51
1/7/2019,119.36
1/8/2019,117.48
1/9/2019,122.69
1/10/2019,123.93
1/11/2019,120.52
1/14/2019,126.71
1/15/2019,131.25
1/16/2019,134.25
1/17/2019,133.25
1/18/2019,133.66
1/22/2019,133.8
1/23/2019,130.92
1/24/2019,132.7
1/25/2019,134.67
1/28/2019,133.25
1/29/2019,132.46
1/30/2019,136.47
1/31/2019,135.45
2/1/2019,137.21
2/4/2019,138.6
2/5/2019,139.4
2/6/2019,135.45
2/7/2019,131.19
2/8/2019,134.71
2/11/2019,137.82
2/12/2019,140.46
2/13/2019,143.54
2/14/2019,146.87
2/15/2019,148.52
2/19/2019,146.28
2/20/2019,147.83
2/21/2019,148.52
2/22/2019,151.19
2/25/2019,149.33
2/26/2019,145.07
2/27/2019,145
2/28/2019,140.14
3/1/2019,138
3/4/2019,139.23
3/5/2019,143.6
3/6/2019,145.12
3/7/2019,140.18
3/8/2019,140.18
3/11/2019,146.36
3/12/2019,145.33
3/13/2019,143.49
3/14/2019,140.24
3/15/2019,141.91
3/18/2019,139.18
3/19/2019,141.55
3/20/2019,143.9
3/21/2019,143.99
3/22/2019,139
3/25/2019,142.1
3/26/2019,137.45
3/27/2019,133.35
3/28/2019,137.64
3/29/2019,138.8
4/1/2019,140.06
4/2/2019,142.55
4/3/2019,143.82
4/4/2019,140.27
4/5/2019,141.13
4/8/2019,142.28
4/9/2019,141.34
4/10/2019,143.57
4/11/2019,141.8
4/12/2019,144.95
4/15/2019,138.55
4/16/2019,139.41
4/17/2019,137.69
4/18/2019,139.65
4/22/2019,135.92
4/23/2019,138.79
4/24/2019,135.62
4/25/2019,132.82
4/26/2019,138.25
4/29/2019,138.14
4/30/2019,135.77
5/1/2019,136.5
5/2/2019,132.7
5/3/2019,136.17
5/6/2019,137
5/7/2019,136.06
5/8/2019,137.71
5/9/2019,134.83
5/10/2019,137.85
5/13/2019,132.39
5/14/2019,133.58
5/15/2019,136.43
5/16/2019,135.43
5/17/2019,132.76
5/20/2019,131.52
5/21/2019,132.24
5/22/2019,127.09
5/23/2019,121.58
5/24/2019,124.65
5/28/2019,124.36
5/29/2019,125.67
5/30/2019,127.61
5/31/2019,125.58
6/3/2019,122.81
6/4/2019,127.61
6/5/2019,131
6/6/2019,135.41
6/7/2019,140.08
6/10/2019,139.23
6/11/2019,138.6
6/12/2019,142.5
6/13/2019,144.85
6/14/2019,144.59
6/17/2019,149.5
6/18/2019,147.01
6/19/2019,149.3
6/20/2019,149.77
6/21/2019,148.31
6/24/2019,150.04
6/25/2019,144.16
